ID,Address,Latitude,Longitude,Points for Mapping,Status,Applicant Submit Date,Issue Date,Business Name,DBA,Permit Type,Permit for Existing Business,Serving/Catering,HACCP Plan,Allergen Awareness Certification Expiration,Anti-Choking Expiration,Food Protection Expiration,Frozen Mix Pasteurized,Frozen Mix Purchased,Frozen Mix Purchased At,Manufacturing Ice Cream,Serving Tobacco,Serving Soft Serve,Serving Milk,Bacteria Testing Lab,Retail Area Size,Number of Seats,Recycling Contractor,Recycling (Containers),Recycling (Cardboard),Recycling (Food Scraps),Recycling (Oil),Recycling (Other),Recycling (Paper),Rubbish Removal Company,Pick Up,Saturday Pick Up,Dumpster Responsibility,Dumpster License Application,Dumpster Count,Grease Removal Company,Extermination Company,Sunday Hours,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours
19562,"26 New St,  Cambridge, MA 02138",42.388,-71.1406,POINT (-71.140575 42.387971),Complete,8/24/18,8/28/18,Terra Cuisine LLC,Terra Cuisine Catering,Non Alcohol,Yes,TRUE,No,8/24/18,8/24/20,8/4/21,,,,,,,,,700,0,N/A,No,No,No,No,N/A,No,N/A,,,Yes,No,,N/A,N/A,2-Sep,9a-10p,9a-10p,9a-10p,9a-10p,9a-10p,9a-10p
22449,"5 Greenough Blvd,  Cambridge, MA 02138",42.3705,-71.133,POINT (-71.133038 42.370471),Complete,10/1/18,11/21/18,American Legion,Marsh Post #442,Alcohol,Yes,,No,10/1/18,10/1/18,10/1/18,,,,,,,TRUE,,,85,DCR,Yes,No,No,No,N/A,Yes,DCR,,,No,No,,N/A,Thompson Pest,12PM 1AM,4PM 12AM,4PM 12AM,4PM,4pm,4PM,12PM
24878,"13 White St,  Cambridge, MA 02140",42.3894,-71.1192,POINT (-71.119228 42.389411),Complete,10/29/18,10/31/18,Liquor World Inc. ,Porter Square Wine & Spirits,Package,Yes,,No,10/29/18,10/29/18,10/29/18,,,,,TRUE,,,,0,,,Yes,Yes,No,No,No,Yes,na,,,Yes,No,,na,Terminex,8-Dec,11-Sep,11-Sep,11-Sep,11-Sep,11-Sep,11-Sep
30239,"300 Binney St,  Cambridge, MA 02142",42.3662,-71.0876,POINT (-71.087573 42.366154),Complete,10/31/18,1/28/19,Bright Horizons @ Biogen,Bright Horizons @ Biogen,Non Alcohol,Yes,FALSE,No,1/8/19,1/8/19,1/8/19,,,,FALSE,FALSE,FALSE,TRUE,,,0,building,No,Yes,No,No,n/a,Yes,Building,,,Yes,No,,n/a,Building,closed,7:00AM - 6:00PM,7:00AM - 6:00PM,7:00AM - 6:00PM,7:00AM - 6:00PM,7:00AM - 6:00PM,closed
29794,"143 First St,  Cambridge, MA 02142",42.3665,-71.078,POINT (-71.07801 42.366496),Complete,12/17/18,12/26/18,helmand resturant,helmand boston inc,Alcohol,Yes,FALSE,No,12/19/20,7/24/23,8/23/23,,Yes,,FALSE,FALSE,FALSE,TRUE,,,119,Cassella,Yes,Yes,Yes,Yes,na,Yes,Casella,,,No,Yes,2,American ,Waltham Pest,5 to 10,5 to 10,5 to 10,5 to 10,5 to 10,5 to 11,5 to 11
44648,"0 Harvard Sq,  Cambridge, MA 02138",42.3736,-71.119,POINT (-71.119014 42.373586),Complete,4/13/19,4/18/19,Muckeys corp ,Out of town news,Retail,Yes,,No,4/1/19,4/1/19,4/1/19,,,,,TRUE,,,,0,,na,No,Yes,No,No,na,Yes,na,,,No,No,,na,na,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9
16830,"407 Memorial Dr,  Cambridge, MA 02139",42.3562,-71.0974,POINT (-71.097387 42.356213),Complete,5/3/19,7/12/19,Kappa Sigma Fraternity,Gill Grilling Company at Kappa Sigma,Non Alcohol,,,No,5/31/22,6/1/21,12/27/23,,,,,,,TRUE,,,30,MIT,Yes,Yes,No,Yes,n/a,Yes,MIT,,,Yes,No,,A & K Waste Systems,Advanced Pest Control,closed,11-7:30,11-7:30,11-7:30,11-7:30,3-Nov,closed
49636,"799 Concord Ave,  Cambridge, MA 02138",42.3915,-71.1555,POINT (-71.155468 42.391457),Complete,6/19/19,2/27/20,"Sancta Maria Hospital, Inc",Sancta Maria Nursing Facility,Non Alcohol,Yes,,No,3/10/21,3/10/21,3/10/22,Yes,Yes,Hersheys,FALSE,,,TRUE,na,,134,na,No,No,No,No,na,No,na,,,Yes,No,,na,Waltham Chemical,24,24,24,24,24,24,24
49896,"25 White St,  Cambridge, MA 02140",42.3896,-71.1188,POINT (-71.118848 42.389619),Complete,6/22/19,7/11/19,Cafe Zing ,Cafe Zing,Non Alcohol,Yes,,Yes,5/27/23,5/27/23,11/15/23,,,,,,,TRUE,,,20,gravestar ,Yes,Yes,No,No,n/a,Yes,n/a,,,Yes,No,,n/a ,n/a,8a-7p,7a-9p,7a-9p,7a-9p,7a-9p,7a-9p,8a-7p
50177,"468 Broadway,  Cambridge, MA 02138",42.374,-71.1131,POINT (-71.113066 42.37396),Complete,6/26/19,7/1/19,Broadway Marketplace,Broadway Marketplace,Package,Yes,FALSE,No,6/26/19,6/26/19,6/26/19,,,,FALSE,FALSE,FALSE,FALSE,,1500,,Republic,Yes,Yes,No,No,na,Yes,Republic,,,Yes,No,,Johns Sewer,Bain Pest Control,11:00-9,11:00-9,11:00Am-9,11:00Am-9,11:00-9,11:00-9,11:00-9
27591,"1220 Cambridge St, Unit 1220, Cambridge, MA 02139",42.3732,-71.0978,POINT (-71.097773 42.373249),Complete,11/20/19,12/13/19,Guangzhou Restaurant,Guangzhou Restaurant,Alcohol,,FALSE,Yes,12/6/18,12/6/18,2/14/22,,,,FALSE,FALSE,FALSE,FALSE,,890,16,lifecycle renwable,Yes,No,No,Yes,n/a,No,Lifecycle renwable,,,Yes,No,,Llifecycle renwable,Terminix,4:30pm-10:00pm,11:30am-10:00pm,11:30am_10:00pm,11:30am_10:00pm,11:30am_10:00pm,11:30am-10:00pm,Noon-10:00pm
46135,"1097 Cambridge St,  Cambridge, MA 02139",42.3731,-71.0955,POINT (-71.095464 42.373136),Complete,6/2/20,6/7/20,Fernandes Fish Market,Fernandes Fish Market,Retail,,,No,5/5/19,5/5/19,10/3/20,,,,,,,TRUE,,500,,American By Products,Yes,Yes,Yes,Yes,,No,Cambridge DPW,,FALSE,No,No,,American By Products,A+1 Pest Management ,7am-1pm,7am-5pm,7am-6pm,7am-7pm,7am-7pm,7am-7pm,7am-6pm
16589,"1280 Massachusetts Ave,  Cambridge, MA 02138",42.3727,-71.1168,POINT (-71.116784 42.372692),Complete,5/3/19,6/5/19,Qdoba Restaurant Corporation,Qdoba Mexican Eats,Non Alcohol,,,No,5/3/24,10/10/19,4/13/23,,,,,,,,,,58,.,No,No,No,No,.,No,handled by LL,,,Yes,No,,WindRiver,Terminex,10:30 AM - 10:00 PM,10:30 AM - 11:00 PM,10:30 AM - 11:00 PM,10:30 AM - 11:00 PM,10:30 AM - 11:00 PM,10:30 AM - 11:00 PM,10:30 AM - 11:00 PM
16421,"9 Brookline St,  Cambridge, MA 02139",42.3638,-71.1017,POINT (-71.101715 42.363788),Complete,6/11/19,6/19/19,Brookline Lunch,Brookline Lunch,Non Alcohol,,,No,6/13/18,6/25/18,6/25/18,,,,,,,TRUE,,,49,BFI,Yes,Yes,No,No,,No,BFI,,,Yes,No,,Self,B&b extermination,6:00am-11:00pm,6:00am-11:00pm,closed,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm
16764,"1 Matignon Rd,  Cambridge, MA 02140",42.4014,-71.1313,POINT (-71.131338 42.401384),Complete,6/25/18,10/28/18,Robert Lemos,Annemarie's Catering,Non Alcohol,Yes,TRUE,No,7/16/20,5/13/19,1/19/23,,,,,,,TRUE,,,0,city,No,Yes,Yes,Yes,none,Yes,Casella,,,Yes,Yes,1,Baker com.,Waltham Cemical,8:00am - 5:00 pm,8:00am - 5:00 pm,8:00am - 5:00 pm,8:00am - 5:00 pm,8:00am - 5:00 pm,8:00am - 5:00 pm,8:00am - 5:00 pm
20865,"1924 Massachusetts Ave,  Cambridge, MA 02140",42.3894,-71.1202,POINT (-71.120246 42.389356),Complete,11/26/19,12/31/19,"Sidonie, LLC",Colette,Alcohol,,FALSE,No,12/31/18,1/31/19,1/31/19,Yes,Yes,Sysco,FALSE,FALSE,FALSE,TRUE,No,,100,Waste Management,Yes,Yes,Yes,Yes,No,Yes,Waste Management,,,Yes,No,,Cambridge,Pestex,7am to 1am,7am to 1am,7am to 1am,7am to 1am,7am to 1am,7am to 1am,7am to 1am
50743,"1093 Cambridge St,  Cambridge, MA 02139",42.3731,-71.0954,POINT (-71.095364 42.373128),Complete,7/3/19,7/30/19,LA DOLCE VITA CAFFE INC,M'LOR CAFFE,Non Alcohol,Yes,TRUE,No,12/4/22,12/4/22,6/30/19,,,,,,,TRUE,,,23,N/A,Yes,Yes,No,No,N/A,No,N/A,,,No,No,,N/A,PEST CONTROL SERVICES,8:00 TO 8:00,7:00 TO 10:00,7:00 TO 10:00,7:00 TO 10:00,7:00 TO 10:00,7:00 TO 10:00,7:00 TO 10:00
48741,"1493 Cambridge St,  Cambridge, MA 02139",42.3744,-71.1044,POINT (-71.104437 42.374425),Complete,5/28/19,6/19/19,Cambridge Hospital,Cambridge Hospital cafe,Non Alcohol,Yes,FALSE,No,8/11/22,6/7/20,9/20/23,,,,,,,TRUE,,,75,RJM,Yes,Yes,No,No,none,Yes,JRM Hauling,,,No,No,,Rendering Co.,Waltham Services,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm
27519,"1585 Massachusetts Ave,  Cambridge, MA 02138",42.3791,-71.1197,POINT (-71.11974 42.379122),Complete,12/11/19,12/13/19,HLS Pub,HLS Pub,Alcohol,,,No,3/14/21,3/1/20,5/19/21,,,,,,,TRUE,,,89,Allied,Yes,Yes,Yes,Yes,na,Yes,Allied,,,Yes,No,,Baker Commodities,Best Pest,Closed,5-10:30pm,5-10:30pm,5-10:30pm,5-10:30pm,Closed,Closed
46881,"10 Fawcett St,  Cambridge, MA 02138",42.39,-71.1458,POINT (-71.145808 42.390048),Complete,5/1/19,5/20/19,The Basil Tree Inc.,Basil Tree Catering,Non Alcohol,Yes,TRUE,No,3/22/21,4/1/20,10/3/20,,,,,,,,,,0,Save That Stuff and City of Cambridge,Yes,Yes,Yes,Yes,none,Yes,Save That Stuff,,,No,Yes,1,A & K waste systems,Terminex,7:30 AM-5 PM,7 AM-7 PM,7 AM-7 PM,7 AM-7 PM,7 AM-7 PM,7 AM-7 PM,7:30 AM-5 PM
16740,"266 Massachusetts Ave,  Cambridge, MA 02139",42.3617,-71.0981,POINT (-71.098077 42.361706),Complete,6/30/19,7/15/19,S K & L CAMBRIDGE LLC,APLUS SUNOCO,Retail,,,No,1/24/23,6/23/18,11/3/19,,,,,TRUE,,TRUE,,800,,REPUBLIC SERVICES,No,No,No,No,NONE,No,REPUBLIC SERVICES,,,No,No,,A & K WASTE SYSTEMS INC,ALLSTATE FARM BOSTON,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS
26636,"730 Massachusetts Ave,  Cambridge, MA 02139",42.366,-71.105,POINT (-71.105025 42.365997),Complete,11/14/18,11/26/18,DMG Food Enterprise,730 Tavern Kitchen & Patio,Alcohol,Yes,,No,11/26/18,11/30/18,1/27/21,,,,,,,TRUE,,,190,Republic Services,No,Yes,No,Yes,no,Yes,Republic Services,three to five times a week,,Yes,No,1,Newport Biodiesel,Ultimate Environmental Services,10:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM
74512,"119 Windsor St,  Cambridge, MA 02139",42.3645,-71.0967,POINT (-71.096737 42.364495),Complete,5/28/20,6/2/20,DHSP Preschool Program,Windsor Preschool,Non Alcohol,Yes,,No,8/31/20,8/31/20,8/31/20,,,,,,,TRUE,,,0,City of Cambridge,Yes,Yes,Yes,No,0,Yes,City of Cambridge,,,Yes,No,,City of Cambridge,City of Cambridge,0,7.30am-5.30pm,7.30am-5.30pm,7.30am-5.30pm,7.30am-5.30pm,7.30am-5.30pm,0
17666,"2218 Massachusetts Ave,  Cambridge, MA 02140",42.3932,-71.1262,POINT (-71.126207 42.393226),Complete,7/18/18,7/23/18,Harvard Square B&B Inns,A Cambridge House Inn at Porter,Non Alcohol,Yes,,No,11/15/18,11/15/18,11/15/18,,,,,,,TRUE,,,15,the Republic,Yes,Yes,No,No,none,Yes,the Republic,,,No,No,,not applicable,Pest-End Exterminators,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am
16924,"31 Putnam Ave,  Cambridge, MA 02138",42.369,-71.1136,POINT (-71.11358 42.368952),Complete,6/28/18,12/14/18,Petsi Pies,Petsi Pies,Non Alcohol,Yes,,No,11/9/18,11/6/18,6/28/18,,,,,,,TRUE,,,24,Save That Stuff,Yes,Yes,No,Yes,no,Yes,Republic Waste Services,,,No,No,,Save That Stuff,Orkin,4-Aug,6-Jul,6-Jul,6-Jul,6-Jul,6-Jul,4-Aug
57948,"30 Dunster St,  Cambridge, MA 02138",42.3725,-71.1191,POINT (-71.119135 42.372466),Complete,10/8/19,10/10/19,Oggi Group LLC.,Oggi Gourmet,Alcohol,Yes,FALSE,No,6/14/21,10/26/20,6/16/21,,,,,,,TRUE,,,50,Lifecycle Renewables Inc.,Yes,Yes,No,No,No,Yes,Harvard Real Estate,,,Yes,No,,Lifecycle renewals,Best Pest Control,11:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,11:00 AM - 10:00 PM
25105,"11 Springfield St,  Cambridge, MA 02139",42.3741,-71.1003,POINT (-71.100348 42.374104),Complete,9/27/19,10/2/19,"Cambridge Restaurant Partners, LLC",Olé,Alcohol,,TRUE,No,11/9/23,11/9/20,9/12/23,,,,,,,,,,175,Republic Services,Yes,Yes,Yes,Yes,None,Yes,Republic Services,,,Yes,Yes,3,Twin Brothers Head Cleaning,"Pest-End, Inc.",10:00 AM to 1:00 AM,8:00 AM to 1:00 AM,8:00 AM to 1:00 AM,8:00 AM to 1:00 AM,8:00 AM to 1:00 AM,8:00 AM to 1:00 AM,8:00 AM to 1:00 AM
47713,"484 Cambridge St,  Cambridge, MA 02141",42.3715,-71.0844,POINT (-71.084395 42.371515),Complete,5/21/19,5/25/19,Courthouse Seafood Market,Courthouse Seafood Market,Retail,Yes,,No,3/30/21,8/3/19,9/12/23,,,,,,,,,600,,CAMBRIDGE RECYCLING,Yes,Yes,No,Yes,NO,Yes,BFI,,,No,No,,AMERICAN BI PRODUCTS,Sunny Pest Control,Closed,Closed,8am-6pm,8am-6pm,8am-6pm,8am-7pm,8am-6pm
16950,"1 Eliot St, Unit WSC1, Cambridge, MA 02138",42.3728,-71.1213,POINT (-71.121255 42.37276),Complete,6/28/18,6/29/18,Bgood LLC,Bgood,Non Alcohol,Yes,,No,9/5/20,10/1/18,4/5/22,,,,,,,TRUE,,,48,n/a,No,No,No,No,n/a,No,Through Building,,,Yes,No,,Wind River,Ecolab,11:00am - 9:00pm,11:00am - 10:00pm,11:00am - 10:00pm,11:00am - 10:00pm,11:00am - 10:00pm,11:00am - 10:00pm,11:00am - 10:00pm
29825,"1124 Cambridge St,  Cambridge, MA 02139",42.373,-71.0959,POINT (-71.095921 42.373008),Complete,12/26/18,12/27/18,Midwest Grill,Midwest Grill,Alcohol,Yes,TRUE,No,12/20/18,12/12/18,12/23/18,,,,,,,TRUE,,,125,Republic Services,Yes,Yes,Yes,Yes,N/A,Yes,Republic Services,,,Yes,No,1,Baker Commodities Inc.,"Page Exterminating Service, Inc.",11:00 am - 1:00 am,8:00 am - 1:00 am,8:00 am - 1:00 am,8:00 am - 1:00 am,8:00 am - 1:00 am,8:00 am - 1:00 am,8:00 am - 1:00 am
20632,"91 Winthrop St,  Cambridge, MA 02138",42.3724,-71.121,POINT (-71.120973 42.372439),Complete,9/3/19,10/4/19,"Turnip, LLC",Parsnip,Alcohol,,,Yes,6/14/23,8/6/20,6/14/23,Yes,No,n/a,TRUE,,,TRUE,Krueger Food Laboratories,,180,Intercontinental,Yes,Yes,No,No,n/a - recycling handled by building management company,Yes,Intercontinental,,,Yes,No,,John's Sewer and Drain,Braman,11:00 am - 1:00 am,11:00 am - 1:00 am,11:00 am - 1:00 am,11:00 am - 1:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am,11:00 am - 2:00 am
26245,"33 Brattle St,  Cambridge, MA 02138",42.3735,-71.1209,POINT (-71.120925 42.373547),Complete,11/9/18,1/3/19,"Auror, LLC",Flat Patties,Alcohol,Yes,FALSE,No,11/15/19,11/15/19,11/15/20,,,,,,,TRUE,,,28,Life Cycle Renewables / Save That Stuff,Yes,Yes,Yes,Yes,N/A,Yes,Save That Stuff,,,Yes,No,,Life Cycle Renewables,"Pest-End, Inc.",11:00 AM to 10:00 PM,11:00 AM to 10:00 PM,11:00 AM to 10:00 PM,11:00 AM to 10:00 PM,11:00 AM to 10:00 PM,11:00 AM to 10:00 PM,11:00 AM to 10:00 PM
45108,"2451 Massachusetts Ave,  Cambridge, MA 02140",42.3985,-71.1313,POINT (-71.131256 42.39848),Complete,11/1/19,11/14/19,NEW TOWNE LINE LIQUORS.INC,NORTON LIQUOR,Package,,,No,4/19/19,4/19/19,4/19/19,,,,,TRUE,,FALSE,,500,,REPUBLICE,Yes,Yes,No,No,NONE,Yes,REPUBLICE,,,No,No,,,EHRILCH,10:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM
48180,"52 Mt Auburn St,  Cambridge, MA 02138",42.3714,-71.1174,POINT (-71.117442 42.371432),Complete,5/31/19,6/3/19,HUDS Hillel,HUDS Hillel,Non Alcohol,Yes,,Yes,1/8/21,1/1/21,3/30/20,,,,,,,,,,120,Republic,Yes,Yes,Yes,Yes,na,Yes,Republic,,,No,No,,Baker Commodities,Best Pest,Closed,4-8pm,4-8pm,4-8pm,4-8pm,4-8pm,noon-8pm
49073,"1300 Massachusetts Ave,  Cambridge, MA 02138",42.3728,-71.1173,POINT (-71.117255 42.372824),Complete,6/12/19,6/12/19,"Cabot's Candy Factory, Inc",Cabot's Candy,Retail,Yes,,No,1/28/21,1/1/21,2/5/21,,,,,,,,,250,,Republic Services (unsure),Yes,Yes,No,No,none,Yes,Republic Services,,,Yes,No,,n/a,Best Pest,7-Nov,8-Oct,8-Oct,8-Oct,8-Oct,9-Oct,9-Oct
25868,"149 Alewife Brook Pkwy,  Cambridge, MA 02140",42.3938,-71.1412,POINT (-71.141205 42.393754),Complete,11/6/18,11/19/18,"brilliant food, llc",Summer Shack,Alcohol,Yes,TRUE,No,11/9/20,11/14/18,2/24/20,Yes,,"Giffords, Maine",,,TRUE,TRUE,,,375,NONE,No,No,No,No,NONE,No,REPUBLIC,,,No,Yes,1,BAKERS COMMODITIES,BRAMAN,11:00AM-11:00PM,11:30AM-11:00PM,11:30AM-11:00PM,11:30AM-11:00PM,11:30AM-11:00PM,11:30AM-11:00PM,11:30AM-11:00PM
45966,"7 Cambridgepark Dr,  Cambridge, MA 02140",42.3949,-71.1422,POINT (-71.142188 42.394942),Complete,5/1/19,5/7/19,Sunrise Learning Academy ,Sunrise Learning Academy ,Non Alcohol,Yes,,No,5/1/23,5/11/23,5/11/23,,,,,,,TRUE,,103,0,city ,Yes,No,No,No,n/a,Yes,MBTA Company ,,,No,No,,n.a,Waltham,CLOSED,7AM-6:00PM,7AM-6:00PM,7AM-6:00PM,7AM-6:00PM,7AM-6:00PM,CLOSED
50533,"199 Alewife Brook Pkwy,  Cambridge, MA 02138",42.3901,-71.1427,POINT (-71.142728 42.390145),Complete,7/1/19,7/31/19,Bon Me Foods LLC,Bon Me,Non Alcohol,Yes,,No,9/1/20,3/18/21,8/21/20,,,,,,,,,,22,Casella,Yes,Yes,No,Yes,N/A,Yes,Casella,,,No,No,,,Ecologic Entomology,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM
23004,"56 Jfk St,  Cambridge, MA 02138",42.3718,-71.1206,POINT (-71.120616 42.371797),Complete,10/6/18,10/10/18,Arauca Inc,Orinoco: A Latin Kitchen,Alcohol,Yes,,No,11/8/22,11/26/18,10/21/21,,,,,,,TRUE,,,49,Republic Services,Yes,Yes,No,No,none,Yes,Republic Services,,,No,No,,A&K Waste,Orkin,11:30 am -3 pm and 5:30 pm - 9 pm,closed,12:00 pm - 2:30 pm and 5:30 pm - 10 pm,12:00 pm - 2:30 pm and 5:30 pm - 10 pm,12:00 pm - 2:30 pm and 5:30 pm - 10 pm,12:00 pm - 2:30 pm and 5:30 pm - 11 pm,12:00 pm - 2:30 pm and 5:30 pm - 11 pm
16598,"1662 Massachusetts Ave,  Cambridge, MA 02138",42.3819,-71.1199,POINT (-71.119912 42.381898),Complete,6/11/19,6/26/19,Starbucks Corporation,Starbucks Coffee #827,Non Alcohol,,,No,5/11/21,6/4/22,6/3/21,,,,,,,TRUE,,1697,20,JRM Hauling,No,Yes,No,No,None,No,JRM Hauling,,,Yes,No,,Wind River,Copesan,530am-10pm,530am-11pm,530am-11pm,530am-11pm,530am-11pm,530am-11pm,530am-11pm
27463,"877 Cambridge St,  Cambridge, MA 02141",42.3726,-71.0915,POINT (-71.091477 42.372619),Complete,11/25/19,1/14/20,Atwood's Corner LLC,Atwood's Tavern,Alcohol,,,No,11/12/23,11/26/20,11/12/23,,,,,,,TRUE,,,70,"City of Cambridge, Save That Stuff, Lifecycle Renewables",Yes,Yes,Yes,Yes,Compost,Yes,Save That Stuff,,,No,No,,Lifecycle Renewables,Eliminator Pest Control,11:00 AM - 1:00AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 1:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM
43641,"364 Broadway,  Cambridge, MA 02139",42.3705,-71.1044,POINT (-71.104367 42.37054),Complete,4/1/19,4/3/19,Wildflower Montessori School,Wildflower Montessori School,Non Alcohol,Yes,,No,4/30/20,9/1/20,4/30/20,,,,,,,,,,20,Parents help,No,No,No,No,No,No,Marli's Cleaning,,,No,No,,Not applicable,JC Erlich,Closed,3-Sep,3-Sep,3-Sep,3-Sep,3-Sep,Closed
55987,"115 Prospect St,  Cambridge, MA 02139",42.3679,-71.1022,POINT (-71.102159 42.367896),Complete,8/12/19,9/13/19,Genji Inc,Genji,Non Alcohol,Yes,,Yes,2/5/22,2/5/22,2/5/22,,,,,,,,,200,10,Whole Foods ,Yes,No,No,Yes,Whole Foods ,No,Whole Foods ,,,No,No,,Whole Foods ,Whole Foods ,8am- 10pm,8am- 10pm,8am- 10pm,8am- 10pm,8am- 10pm,8am- 10pm,8am- 10pm
49739,"270 Albany St,  Cambridge, MA 02139",42.3576,-71.1021,POINT (-71.102129 42.357579),Complete,6/20/19,6/24/19,"Sodexo Operations, LLC at Sanofi Aventis Cafe",Sanofi Aventis Cafe,Non Alcohol,Yes,,No,6/20/19,6/20/19,12/12/19,,,,,,,TRUE,,,20,Waste Management,Yes,Yes,No,No,No,Yes,Waste Management,,,Yes,No,,,Waltham,CLOSED,6:30AM TO 2:00PM,6:30AM TO 2:00PM,6:30AM TO 2:00PM,6:30AM TO 2:00PM,6:30AM TO 2:00PM,CLOSED
22632,"1230 Massachusetts Ave,  Cambridge, MA 02138",42.3723,-71.1158,POINT (-71.115832 42.372266),Complete,10/2/18,10/4/18,"G. Street Associates, Inc.",Grafton Street Pub & Grill,Alcohol,Yes,,No,11/28/22,12/31/18,7/28/20,,,,,,,TRUE,,,170,Republic Waste,Yes,Yes,No,Yes,N/A,Yes,Republic Waste,,,No,Yes,2,A&K Waste,F&W Pest Control,10am to 1am,11am to 1am,11am to 1am,11am to 1am,11am to 2am,11am to 2am,10am to 2am
16656,"736 Massachusetts Ave,  Cambridge, MA 02139",42.366,-71.1051,POINT (-71.105089 42.366023),Complete,6/18/19,6/19/19,Mass Chicken,Mass Chicken ,Non Alcohol,,FALSE,No,4/4/21,6/22/18,3/10/20,,,,FALSE,FALSE,FALSE,FALSE,,,24,commadation,No,No,No,Yes,n/a,No,Casella,na,FALSE,Yes,Yes,1,Casella,Casella,12pm 10pm,11:00Am - 11:00Am,11:00Am - 11:00Am,11:00Am - 11:00Am,11:00Am - 11:00Am,11:00Am -3.00Am,11:00Am -3.00Am
16333,"169 Harvard St,  Cambridge, MA 02139",42.3662,-71.0956,POINT (-71.095606 42.366203),Complete,6/12/18,6/21/18,Izzys Restaurant & Sub Shop,Izzy's Restaurant & Sub Shop,Non Alcohol,Yes,,No,,,1/18/23,,,,,,,,,,30,Republic Waste,Yes,Yes,Yes,Yes,,Yes,Republic Waste,,,No,Yes,,,A-1 Exterminator,CLOSED,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM
22744,"1 Rogers St,  Cambridge, MA 02142",42.3664,-71.0772,POINT (-71.077246 42.366366),Complete,10/3/19,10/10/19,Bao&Mein,Shabu&Mein,Alcohol,,,No,10/23/23,11/30/20,10/31/23,,,,,,,TRUE,,,88,building management,No,Yes,Yes,Yes,none,Yes,Building management,,,Yes,No,,Lifecycle renewable ,MD Weaver,11:00am - 9:45pm,11:00am - 9:45pm,11:00am - 9:45pm,11:00am - 9:45pm,11:00am - 9:45pm,11:00am - 10:45pm,11:00am - 10:45pm
47422,"12 Quincy St,  Cambridge, MA 02138",42.3728,-71.1144,POINT (-71.114363 42.372812),Complete,5/21/19,5/23/19,HUDS Barker Cafe,HUDS Barker Cafe,Non Alcohol,Yes,,No,4/1/24,3/1/21,5/5/22,,,,,,,TRUE,,,37,Republic,Yes,Yes,Yes,No,na,Yes,Republic,,,No,No,,N/A,Best Pest,Closed,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-7pm,Closed
44831,"1815 Massachusetts Ave,  Cambridge, MA 02140",42.3871,-71.119,POINT (-71.118975 42.387136),Complete,4/8/19,5/16/19,Lesley University Bookstore,Lesley University Bookstore,Retail,Yes,,No,4/16/19,4/16/19,4/16/19,,,,,,,,,115,,Casella,Yes,Yes,No,No,,Yes,Casella,,,No,No,,,Waltham Pest Control,Closed,10am - 7pm,10am - 7pm,10am - 7pm,10am - 7pm,10am - 4pm,12pm - 5pm
46191,"84 Massachusetts Ave,  Cambridge, MA 02139",42.3589,-71.0946,POINT (-71.094618 42.358884),Complete,5/6/19,7/24/19,Massachusetts Institute of Technolog,Bon Appetit W20 Production Kitchen,Non Alcohol,Yes,TRUE,No,5/18/23,5/22/20,9/12/22,,,,,,,TRUE,,,0,Casella Waste Systems,Yes,Yes,Yes,Yes,none,Yes,Casella Waste systems,,,No,No,,Newport Biodiesel,EHS Pest Services,8:00 am to 4:00 pm,6:30 am to 4:00 pm,6:30 am to 4:00 pm,6:30 am to 4:00 pm,6:30 am to 4:00 pm,6:30 am to 4:00 pm,Closed
